review_row,source_line,x,y,measured_cm,radius_px,nearest_neighbor_px,median_8_neighbor_px,local_neighbor_median_cm,local_residual_cm,abs_local_residual_cm,local_mad_cm,robust_z_vs_neighbors,repair_note
290,290,1,17,34.4,17.029386365926403,94.76286192385707,102.1844764370074,14.08,20.32,20.32,1.2699999999999996,4.064,split malformed CSV line 290: second repaired row
296,296,271,11,161.4,271.2231553536681,7.0710678118654755,14.998184635980609,181.72,-20.319999999999993,20.319999999999993,12.700000000000003,1.0791852151625516,
60,61,-150,186,227.44,238.94769302087852,1.4142135623730951,2.23606797749979,207.12,20.319999999999993,20.319999999999993,6.984999999999999,1.9621549366591855,
343,343,24,-234,110.6,235.2275494069519,3.0,10.61510775430992,129.65,-19.05000000000001,19.05000000000001,15.239999999999995,0.8431134493457447,
354,354,25,-261,194.42000000000002,262.1945842308723,1.4142135623730951,5.549509756796392,175.37,19.05000000000001,19.05000000000001,15.240000000000009,0.843113449345744,
357,357,-71,-99,16.62,121.82774724995944,11.180339887498949,34.73424136289742,35.67,-19.05,19.05,16.51,0.7782585686268406,
319,319,131,-181,77.58,223.4323163734378,6.324555320336759,20.547511554864492,96.63,-19.049999999999997,19.049999999999997,11.43,1.1241512657943251,
67,68,-20,247,202.04,247.80839372386077,2.0,4.0,182.99,19.049999999999983,19.049999999999983,11.430000000000007,1.1241512657943238,
382,382,-149,-189,191.88,240.66989840858787,0.0,3.2169892001050897,172.83,19.049999999999983,19.049999999999983,19.049999999999997,0.6744907594765948,
131,132,-223,-2,146.16,223.00896842952304,2.0,4.0,163.94,-17.78,17.78,11.430000000000007,1.0492078480747031,
209,210,-3,249,199.5,249.0180716333656,1.0,3.605551275463989,182.99,16.50999999999999,16.50999999999999,13.970000000000013,0.7971254430177931,
120,121,-231,-5,205.85,231.05410621756974,2.23606797749979,3.3839144678161843,189.34,16.50999999999999,16.50999999999999,10.159999999999997,1.096047484149467,
199,200,-165,155,161.4,226.38462845343543,1.0,2.995352392457285,177.91,-16.50999999999999,16.50999999999999,12.700000000000003,0.8768379873195731,
282,283,215,173,202.04,275.9601420495358,2.0,4.242640687119285,185.53,16.50999999999999,16.50999999999999,8.89,1.2526256961708189,
283,284,285,-2,202.04,285.0070174574654,1.0,6.0,185.53,16.50999999999999,16.50999999999999,8.89,1.2526256961708189,
294,294,279,14,202.04,279.35103364763125,2.23606797749979,16.0312195418814,185.53,16.50999999999999,16.50999999999999,8.89,1.2526256961708189,
262,263,172,146,80.12,225.61028345356956,5.0,15.700609733428363,95.36000000000001,-15.240000000000009,15.240000000000009,10.160000000000004,1.0117361392148931,
59,60,-149,185,222.36,237.54157530840786,0.0,1.0,207.12,15.240000000000009,15.240000000000009,6.984999999999999,1.4716162024943904,
318,318,133,-187,85.2,229.4733099948663,5.830951894845301,16.443785055418655,100.44,-15.239999999999995,15.239999999999995,7.6200000000000045,1.348981518953189,
130,131,-225,-2,153.78,225.00888871331284,1.4142135623730951,3.0,169.01999999999998,-15.23999999999998,15.23999999999998,10.160000000000025,1.0117361392148891,
250,251,69,83,12.81,107.93516572461452,8.0,47.776803429515695,26.78,-13.97,13.97,8.889999999999999,1.0599140506060785,
267,268,192,160,115.68,249.92798962901293,2.23606797749979,8.524877118960255,129.65,-13.969999999999999,13.969999999999999,12.699999999999996,0.7419398354242549,
204,205,-168,157,191.88,229.94129685639334,1.0,1.618033988749895,177.91,13.969999999999999,13.969999999999999,13.969999999999999,0.6744907594765952,
198,199,-164,155,156.32,225.656819085974,1.0,2.9208096264818897,170.29,-13.969999999999999,13.969999999999999,13.970000000000013,0.6744907594765945,
288,289,278,-2,171.56,278.0071941515183,1.4142135623730951,7.035533905932738,185.53,-13.969999999999999,13.969999999999999,8.89,1.059914050606078,
49,50,-146,182,184.895,233.32380932943812,1.0,2.995352392457285,198.865,-13.969999999999999,13.969999999999999,6.3500000000000085,1.4838796708485074,
58,59,-149,185,221.09,237.54157530840786,0.0,1.0,207.12,13.969999999999999,13.969999999999999,6.984999999999999,1.3489815189531904,
66,67,-20,243,196.96,243.82165613415063,0.0,1.7071067811865475,182.99,13.969999999999999,13.969999999999999,13.969999999999999,0.6744907594765952,
386,386,180,125,97.9,219.14607000811125,20.518284528683193,25.165525060596437,83.93,13.969999999999999,13.969999999999999,13.969999999999999,0.6744907594765952,
397,397,-100,137,58.53,169.61426826773743,7.0710678118654755,15.872507424205203,45.195,13.335,13.335,5.715,1.5738117721120557,
393,393,-82,151,63.61,171.82840277439584,22.80350850198276,36.20741534001779,50.275000000000006,13.334999999999994,13.334999999999994,5.080000000000005,1.7705382436260597,
