review_row,source_line,x,y,radius_px,angle_deg,measured_cm,radius_roll_median_cm,radius_residual_cm,repair_note
331,331,13.0,-128.0,128.65846260545786,-84.20078237090158,21.7,19.16,2.539999999999999,
171,172,-98.0,83.0,128.42507543311004,139.73744334801012,16.62,19.16,-2.539999999999999,
106,107,-19.0,181.0,181.99450541156455,95.99252744787897,49.64,52.18,-2.539999999999999,
328,328,68.0,-107.0,126.77933585565118,-57.563469398518386,20.43,17.89,2.539999999999999,
238,239,-14.0,173.0,173.5655495770978,94.62657070937152,42.02,44.56,-2.539999999999999,
323,323,101.0,-150.0,180.83417818543043,-56.046303447135095,47.1,49.64,-2.539999999999999,
181,182,-134.0,123.0,181.89282558693733,137.45085263777105,49.64,52.18,-2.539999999999999,
233,234,-13.0,190.0,190.4442175546425,93.91413721861242,57.26,59.8,-2.539999999999999,
103,104,-19.0,189.0,189.952625672824,95.74060663895192,57.26,59.8,-2.539999999999999,
5,6,-102.0,118.0,155.97435686676192,130.84035770628736,29.32,31.86,-2.539999999999999,
237,238,-12.0,177.0,177.40631330367023,93.87852450284771,44.56,47.1,-2.539999999999999,
388,388,121.0,75.0,142.35870187663275,31.7920715372209,26.78,24.240000000000002,2.539999999999999,
175,176,-115.0,100.0,152.3975065412817,138.9909130984298,26.78,29.32,-2.539999999999999,
176,177,-119.0,101.0,156.0833110873805,139.67741785888174,29.32,31.86,-2.539999999999999,
174,175,-112.0,94.0,146.21901381147393,139.9937439858234,24.240000000000002,26.78,-2.539999999999999,
243,244,-18.0,146.0,147.10540438746634,97.0283962389496,24.240000000000002,26.78,-2.539999999999999,
48,49,-146.0,181.0,232.54461937443318,128.8906832147631,181.72,179.18,2.539999999999992,
70,71,-20.0,239.0,239.83536019528063,94.78348094876746,163.94,166.48,-2.539999999999992,
145,146,-200.0,2.0,200.0099997500125,179.42706130231653,77.58,75.04,2.539999999999992,
99,100,-22.0,197.0,198.22462006521792,96.37211139693251,67.42,69.96,-2.539999999999992,
62,63,-19.0,240.0,240.75090861718465,94.52647527909879,163.94,166.48,-2.539999999999992,
16,17,-122.0,148.0,191.80198122021577,129.4995885297981,64.88,62.34,2.539999999999992,
370,370,-131.0,-167.0,212.24985276791125,-128.11174172300534,100.44,97.9,2.539999999999992,
22,23,-134.0,157.0,206.4097865896867,130.48086228529354,86.47,83.93,2.539999999999992,
20,21,-132.0,155.0,203.59027481684876,130.4181441355919,82.66,80.12,2.539999999999992,
69,70,-20.0,241.0,241.82845159327303,94.74396594304045,169.02,171.56,-2.539999999999992,
1,2,-85.0,88.0,122.34786471369249,134.0065311437174,14.715,16.62,-1.9050000000000011,
10,11,-113.0,132.0,173.761330565808,130.5655294938988,43.29,45.195,-1.9050000000000011,
152,153,-186.0,4.0,186.04300578092153,178.76802259736027,59.8,57.895,1.904999999999994,
112,113,-15.0,144.0,144.77914214416384,95.9468630539735,24.24,26.018,-1.7780000000000022,
21,22,-132.0,157.0,205.11703976023054,130.0559255892022,83.93,82.66,1.2700000000000102,
13,14,-118.0,138.0,181.57092278225608,130.53284093861072,52.18,50.91,1.2700000000000031,
14,15,-116.0,141.0,182.58422713914803,129.44396157687495,53.45,52.18,1.2700000000000031,
6,7,-107.0,122.0,162.27445886522005,131.25235502523395,33.129999999999995,34.4,-1.2700000000000031,
116,117,-14.0,121.0,121.80722474467596,96.59991698191388,16.62,15.35,1.2700000000000014,
357,357,-71.0,-99.0,121.82774724995944,-125.64702074990674,16.62,15.35,1.2700000000000014,
164,165,-128.0,10.0,128.39003076563228,175.53284093861072,20.43,19.16,1.2699999999999996,
168,169,-110.0,12.0,110.65260954898443,173.77417093557423,12.81,14.08,-1.2699999999999996,
360,360,-70.0,-84.0,109.34349546269316,-129.8055710922652,12.81,14.08,-1.2699999999999996,
169,170,-84.0,81.0,116.69190203266035,136.04162667600997,12.81,14.08,-1.2699999999999996,
249,250,-15.0,116.0,116.96580696938743,97.36805107162219,12.81,14.08,-1.2699999999999996,
245,246,-17.0,136.0,137.05838172107534,97.1250163489018,20.43,21.7,-1.2699999999999996,
166,167,-119.0,10.0,119.41942890501528,175.19651424093092,15.35,14.08,1.2699999999999996,
247,248,-17.0,125.0,126.15070352558483,97.74471054642292,17.89,16.62,1.2699999999999996,
113,114,-17.0,141.0,142.0211251891774,96.87481802870425,25.51,24.240000000000002,1.2699999999999996,
250,251,69.0,83.0,107.93516572461452,50.26239539959512,12.81,14.08,-1.2699999999999996,
172,173,-105.0,86.0,135.72398461583714,140.68089081796595,19.16,20.43,-1.2699999999999996,
2,3,-90.0,102.0,136.02940858505562,131.42366562500266,19.16,20.43,-1.2699999999999996,
297,297,278.0,12.0,278.25887227544064,2.471664761633412,186.8,188.07,-1.2699999999999818,
35,36,-145.0,171.0,224.2008028531566,130.2963852957068,136.0,134.73000000000002,1.2699999999999818,
117,118,-14.0,119.0,119.82069938036582,96.70983680775694,15.35,14.715,0.6349999999999998,
155,156,-174.0,-2.0,174.01149387324966,-179.3414568224364,44.56,45.195,-0.634999999999998,
108,109,-20.0,176.0,177.13271860387624,96.48307369289724,44.56,45.195,-0.634999999999998,
390,390,33.0,-169.0,172.19175357722565,-78.95109432834526,45.195,44.56,0.634999999999998,
